iter	Passed	Remaining
0	7	724
1	13	677
2	20	649
3	26	631
4	33	643
5	41	647
6	47	631
7	54	622
8	60	611
9	66	602
10	73	592
11	79	582
12	86	576
13	92	569
14	99	561
15	105	555
16	112	548
17	118	539
18	124	532
19	132	528
20	138	520
21	144	513
22	151	506
23	157	498
24	163	491
25	170	484
26	176	477
27	182	470
28	189	463
29	195	456
30	201	449
31	209	445
32	216	439
33	223	434
34	230	427
35	236	421
36	243	414
37	250	408
38	256	401
39	263	394
40	270	388
41	276	381
42	283	376
43	290	369
44	297	363
45	304	357
46	310	350
47	316	343
48	323	336
49	329	329
50	335	322
51	342	315
52	348	309
53	355	302
54	361	295
55	368	289
56	374	282
57	381	276
58	388	269
59	394	262
60	401	256
61	408	250
62	415	243
63	422	237
64	429	231
65	436	224
66	443	218
67	449	211
68	455	204
69	462	198
70	469	191
71	475	184
72	481	178
73	488	171
74	495	165
75	501	158
76	509	152
77	515	145
78	522	138
79	529	132
80	536	125
81	542	119
82	549	112
83	555	105
84	562	99
85	568	92
86	575	85
87	581	79
88	588	72
89	594	66
90	602	59
91	609	53
92	616	46
93	623	39
94	629	33
95	637	26
96	644	19
97	652	13
98	659	6
99	666	0
